idx,Score,Text
2292,Positive,Olloxim omadiyni bersin
2293,Neutral,Malades xozir angliyskiy ukituvchilar xam 6 ololmaydi
2294,Positive,8.5 bu juda juda zor natija
2295,Positive,Gap yoʻq
2296,Neutral,Urganavur bemalol.
2297,Positive,Masha Allah
2298,Positive,"Vuy molodets, zur obti"
2299,Positive,Qoyil juda aqlli oʻqimishli ekan
2300,Positive,Xamkishlogim tabriklayman. Omad xamisha yor bulsin.
2301,Positive,"Farzandlarimizg
a ham nasib qilsin, molodets !"
2302,Positive,"Barakalla, omadini bersin"
2303,Positive,Tarbiya bergan ota onanga rahmat.
2304,Positive,Barakalla kizim. Ota onangga raxmat
2305,Positive,Qoyil 
2306,Positive,Maşallah 
2307,Positive,Good job
2308,Positive,"Koyil Baraka topsin , Ota onasiga raxmat"
2309,Positive,Magnificent degree
2310,Neutral,Nechyil uqidi
2311,Positive,Ofarin!
2312,Positive,Barakallo siynim Biz biyuk millatmiz
2313,Positive,"MashaAlloh,biza
niyam farzandlarimiz shunday kuchli ilmli bo'lsinlar"
2314,Positive,Zo'r natija
2315,Positive,Ofarin ota onasi ming rahmat.
2316,Positive,Qoyil
2317,Positive,Molodets
2318,Positive,Perfect 
2319,Neutral,Manam boshleman Xudo xoxlasa
2320,Positive,Maladec
2321,Negative,Dengi yest ya tvoya ax tы kozochka moya 
2322,Positive,"gap yuk, ofarin, xavas kildik..."
2323,Neutral,Jalko ota onasi ukitgan takdirda xam kelajakda uyda utiradi. Ishlatishmaydi.
2324,Positive,Allox ziyoda kilsin.
2325,Neutral,Gulzoda Kaxxarova
2326,Neutral,Achchiq bolsa ham haqiqat rossa maqtanchoq xalqmiz! Bizni yurtda Alisher Navoiy Ibn Sino Al Farg'oniy Beruniy va blar yashagan db 2 gapni birida gapiriladi togri man ham faxrlanaman lekin qani hozir shunaqa olim va yetuk insonlar qani? Bizda ham hozir nobelni oladigan olimlar va kuchli shifokorlar doktorlar chiqsa boladi lekin ilmga e'tibor ''0'' bir narsa bolsa bizda Ibn Sino bo'lgan bizda Beruniy bolgan db maqtanamiz. Sportchi va san'atkorlarni koklarga kotarib uqituvchi va shifokorlarni esdan chiqardik ilm dunyoni boshqaradi!
2327,Neutral,Kiynchi
2328,Neutral,Ğayrat Omon
2329,Neutral,"Qadimgi Misr, Gretsiya, Rim va Hindiston, Tibet, Xitoy meditsinasiga asoslangan meditsinani oʻrganishgan barchasi. Oʻrta Osiyo, Eron va Misr va hk. joydagi kitoblarni katta qismi xalifatni kengayish davrida oʻtda yonib kul boʻlgan. Bilimda oʻsish keyinchalik oʻsha kitoblarning qayta arab tiliga oʻgirilishidan boshlangan va bu RENESSANS deb ataladi....
Bu xuddi Ibn SInoni biror kitobini yoqib yuborib, keyin yana 100 yildan soʻng uni boshqa yerlarda saqlanib qolgan koʻchirmasini oʻrganib, qoʻshimchalar qilib uni biz qilganmiz deyishga oʻxshash hol."
2330,Neutral,Olaaaa
2331,Neutral,Qachongacha o'tmish bilan maqtanamiz!?
2332,Neutral,Hozir yaratishsin. Qachondir nimadir qilganmizmas!
2333,Neutral,Denov tumaniga mustakillikdan keyin xokim bulganlarning orasida xalk dardini tinglab eng xayrli ishlarni Ulugbek Kosimov amalga oshirdilar va denovni ancha tartibga keltirgan edilar.
2334,Positive,"Prezidentimiz barcha almashgan tuman xokimlari oʻrniga VM va Adminstratsiyasid
a ishlayotgan yoshlarni jalb qilmoqda.Demak bu
yaxshilikka.Omin."
2335,Negative,Biri ketadi urniga boshqasi kelib kemiradi u ham 3.4yil ishlab boshiydi va boshqa joyga bb boshliq boladi urniga kelgan yana usha usha charxpalag
2336,Neutral,Ali Xuja ketdi Xuja Ali keldi.
2337,Positive,Tabriklaymiz.
2338,Negative,Darxol sokka kilishga kirishilsin
2339,Neutral,15%i Toshkendan sotilgan hamma Toshkenga intiladi
2340,Neutral,Karz bulish koʻrsatgichi xam 70% oshgandir.
2341,Neutral,".Xalqni, odamni Oʻzi koʻpaygandan keyin xaridi ham koʻpayadide.
Yana irimiga qiziqtirib aldab-suldab imtiyozli kredit...subsid
iya...degandek «ozgina» yordam ham berilgandan keyin!
Mayli, bir tomondan umuman ayrimlar vahima qilganidek xalqimiz judayam nochor emasligini isboti,buham boʻlsa!
Yaxshilik boʻlsin."
2342,Neutral,Xa ana endi pishipti
2343,Neutral,Bino ichidagi insonlarni muammolarini aniklaydiganchi
2344,Neutral,Tabriklash qoptide tabriklash.
2345,Negative,Shuncha pulni kotiga tiqqib yaratgan narsani qara
2346,Neutral,Shu platformani Sputnikda kúllash kerak birinchi navbatda
2347,Negative,E qoʻtoni yepti xammasi
2348,Negative,Yosh rol o'ynamayaptiyu hozir. Hali qurib bitkazilmay cho'kib tushvotti
2349,Neutral,"Xali buniyam koyillatishadi,,
,, "
2350,Neutral,"Maktab taminotchilarid
an tortip povarlari yu korovuliga katta iymon tilayman"
2351,Negative,"Nimaga fakat 2 ta viloyatda joriy etilyapti, Yangi Uzbekistonni kuchi fakat 2 ta viloyat ukuvchilariga etadimi"
2352,Neutral,"Koreyada xam tekin 11 sinfgacha,bizda
mayli shu 4 sinfgacha qilsa xam,bolalarni fundament yani,bola 1 sinfdan 4 sinfgacha asosiy bilim fundament quyadi.Zur ish bulardi.Faqat xamma viloyatlarda amalga oshirilsa zur ish bulardi.Faqat uyiga toshishmasin produktani sumkalab.CCT vi cameralar quyilsin."
2353,Negative,Ana Endi kalamushlarni qorni yorilsa kerak. Hozir ular tarang semirib turibdi.paq
2354,Neutral,Xali koyil kilishsa kerak
2355,Neutral,"Qoraqalpo va Xorazmda ekologiya juda achinarli ahvolda yaxshi ish qilibdi uqituvchilariga
ham arzon sifatli ovqat tashkil qilish kk!"
2356,Neutral,Narxni oshirib keyin beradi shartnomani
2357,Negative,Zavodni ham qayta ochilmaydigan qilib yopvorilar iloji bölsa.
2358,Neutral,Janob prezident rastamojkani oching.
2359,Neutral,"„Senы monopolii vo vsex sluchayax yavlyayutsya samыmi vыsokimi iz tex, kotorыe mojno vыjat iz pokupateley ili kotorыe, kak predpolagayetsya,
oni soglasnы zaplatit.“ - Adam Smit

Monopoliya xorosha tolko togda, kogda ona svoya.

Eto otvet na mnogiye nashi voprosы........
.

A tak dlya Monopolistov nashi pretenzii i voprosы prosto GITARA"
2360,Neutral,"Biz bilgandik, biz kutgandik"
2361,Negative,Umuman tiklanmasdan zavod yopilip ketsin.
2362,Neutral,"Olam shumul ""yangilik."".ku"
2363,Neutral,Iloxim umuman ishga tushmasin. 
2364,Negative,"Baribir, shapka berib bulsa xam shartnoma olamiz. Mana kurasiz. Yulini topamiz. Biza bu eshshak aravalarsiz yasholmaymiz."
2365,Neutral,"Xususiylashyapt
iyoooov"
2366,Neutral,Yaxshi bulibdi
2367,Neutral,Rastamojka ochilsin
2368,Neutral,Shu yul bn ikkilamchi bozordegi mashinalarni narxini oshirishadi. Keyin yangisini narxini kutarib shakkilladib sotadi.
2369,Neutral,Rastarmojkani ochsin
2370,Negative,Zachem nujen zavod yesli oni ne mogut obespechit spros
2371,Negative,Nukul yomon xabar keladi shulardan. Bularni noinsof ishlab chikaruvchi desa xam tugri bulsa kk.
2372,Positive,E qutilibmiz shu eski taraq turiqdan alloh yangi madellardan nasib qilsin
2373,Neutral,UzAutoga sabr va toqat tilayman! Bahtli bulgin kelajakda! 
2374,Neutral,Jm tamom . Tayyor moshina olib sotadigan oson pul topadigan yulini topdi .
2375,Neutral,"Xullas, GM va Uz Auto yopilmaydi. Gapirish foydasiz. U zavod kattaligini, rivojlangan texnologiyalar bilan ta'minlanganlig
ini ko'rib xulosa qilsak uni yopish masalasi ko'rib ham chiqilmaydi. Xalq birlashib harakat qilganda ham narx navo ozgina pasayishi mumkin real olib qaraganda lekin o'sha narx ham juda baland bo'ladi aslida.
Eng ma'qul yo'l va xalq uchun yagona foydali yechim monopoliya hukumatini yo'qotib rastamojkani yo'qotish. Tepada bir nechta HAROMXO'R LOBBISTLAR turibdi, hammasi shularni kasrida bo'lyapti. Mani fikrimcha prezidentimizni
ham ushbu masalada qaror chiqarishda ikkilanayotganl
igini sababi ham shu haromxo'rlar. Ular nima uchun haromxo'r, chunki o'zi uchun, o'zini miyasidagi olloh bergan ilmga yarasha joyda o'tirmay xalqni pulini yeb yotgani uchun haromxo'r.
Joyingni bo'shatib berlaring ey noinsoflar, bo'ldi yetadi yeganing ertaga javob berishi ham bor. Yosh, istiqbolli, xudodan qo'rqadigan kadrlar juda ham ko'plab topiladi yurtimizda. Kerak bo'lsa bir oyda butun tizimni mukammal holatga keltirib qo'yadigan kadrlar bor. Dux kerak faqat DUX."
2376,Neutral,Bu digani endi dogovor ham shapka digani
2377,Neutral,THE END
2378,Negative,"K@t@gi kuygan Uzbekiston mijozlarga,uzAM
chilar."
2379,Neutral,"Manimcha sekin bankrot qilib xususiylashtiri
shmoqchi. Bu 90 yillardagi metodlardan biriku!"
2380,Negative,Kutinngayam tikvorlaring yevrapada uchar moshinalar biza shartnoma...
2381,Negative,Ulgani makul Baloxam buldi bu kampaniya brak moshinalari bilan ????????
2382,Negative,Zavodi bilan yonib ketsa xalqqa yaxshi boʻlar edi....
2383,Negative,"Qimmatlari sotilmey qolib ketayotgandurda
, chetda birov olmagan malibu trekerlar rosa pullashadi tokni bahona qilib xalqni pulini shilish.."
2384,Neutral,Xalqni qarg'ishini olgan zavoddan yana nimani kutish mumkin.
2385,Neutral,Yopilib ketsin Kia Reno xunday ochilsin arzon madelarini opkesin oddiy xalkam minsin avtomabil
2386,Negative,"Kasodga uchraguz UzAm
Eng ma'qul yo'l bu yurtdan butunlayga ko'chib ketish kk!"
2387,Negative,Umuman tiklanmasa ham mayli.
2388,Neutral,Zdorove jurnalida yozishlaricha asab tolalari kayta tiklanmaydi
2389,Negative,95 yildan beri prixod rasxodi tekshiradigan mard bormi XAROMXOʻRLARNI
2390,Neutral,"Iloyim davomiy boʻsin, umuman berishmasin…."
2391,Negative,"Zavodingayam shartnomanggaya
m"
2392,Negative,Sila yopilib ketselayam Mayli. Bankrot bulib. Xalkka yaxshi buladi. Bor ladan yugila yaxshi.
2393,Neutral,"K,achon mening fikrim portalida 17000 dan ortik ovoz tuplangan konun kabul kilinadi, yani uzimizda chikarilgan va eksport kilingan avtolarni rastamojkasiz olib kirish?!
Xurmatli deputatlar, xotyabы shu masalada xalkka yerdamingiz tegsin!"
2394,Neutral,Tamom bular endi xalkni tamilolmaydi rostamojkani ochish kerak byudjetnыy segmentdagi moshinalar uchun xam
2395,Neutral,Mayli mayli
2396,Neutral,Jm pishdimi?
2397,Negative,"Shunga loyiq xalq, ustiga chiqib chichvorsayam ""xa nima qiley boshqa, tinchmizku.....
"" deb sotib olavermay 3 4 oy sabr qilib tursa bankrot bo‘lib o‘zidan o‘zi yopilib ketadi"
2398,Positive,Mana buni yangilik desa buladi
2399,Neutral,"Vohima qimanglar, astagina narxni ko’tarib, sotuvda bemalol qib qo’yadi vassalom. Maqsad shuku aslida"
2400,Neutral,Bu zavod kimga tegishli ekana
2401,Neutral,15500 ligini kurvosanlade a shunga karab oshirasanla etib kuylarin turisini
2402,Neutral,Zavodimiz manziliga yetib keldiyov
2403,Neutral,Yopilib ketmedimi menga desa
2404,Neutral,Bo'ldida endi qachongacha xalqni qiynasizlar Rastamojkani OCHINGLAR odamlar o'zi biladi qanaqa moshina olib xaydashni.
2405,Neutral,Umuman bermanglarey
2406,Negative,Xoxlaganini qilvuradi nima qilaolaslar. Yalinib olinglar shu moshinlarni. Moshinsiz xayot yoʻqmi
2407,Negative,Ko‘tlar onangdikiga kirib ket zavoding bilan monopolistlar
2408,Negative,"Marketingovыe xod, oshirish payida bula️️️"
2409,Neutral,Endi rastamojka qayta koʻrib chiqiladimi???
2410,Negative,Xaltala
2411,Neutral,Yopilib ketsayam mayli
2412,Neutral,Iltimos zavodni yepinglar.
2413,Negative,GM men baxtliman.. xalk Battar bul battar bul..
2414,Neutral,Shartnoma qilmasa demak baxorlardan narxi oshadi
2415,Neutral,"Taklif bulsa beringlar, osonrok nima kilish kerak"
2416,Neutral,Qachon tiklanadi
2417,Negative,Yeplalmedikan nima kerek xalkdi kiynab undan kura rastarmojkani ochsin
2418,Neutral,Qanday qilib narxini oshirishni bilmayapti bular...
2419,Neutral,1 fevraldan davleni kutariladi
2420,Neutral,"Rastomojka ochilsin, bo'ldi"
2421,Negative,Zavoddingaham ???
2422,Neutral,Ochinglar eee rastamojkani qachongacha tosh davrida yashaymiz bmw mers Acton Martin ferrarila minaylik yoki Uzbeklarga mumkun emasmi
2423,Negative,"ESHSHAAKKLLAARR
RRR ......ni sotib olib minib yuraveramizda endi"
2424,Neutral,Olvorsin
2425,Neutral,Misha chuchvara otmen
2426,Negative,Rastamojkani ochavorlaring konini ichtilaring-ku odamlarni bad baxtlar!
2427,Negative,Bulaga xamma narsa yarashuradi
2428,Neutral,Ilohim 1 fevraldan zavod ham yopilib ketsin. Xalq nomini ham qaytib eshitmasin
2429,Negative,"GM umer, Game over "
2430,Negative,"Rosti shu mashina zavodni foydasi bormi davlatga. Yoki shu bazibir vallomatlargada
. Negaki zavldlari bop zapchastlar va yana nimalardir chikargʻshib tikishib ubu ishlar kilishib boyishib yetishibdi. Oddiy xalkka nima foydasi bop. Essiz katta korxonani ne umidlar bilan birinchi prizident kurdirgan. Manapoliya kilib bukishvordi. Yana tuyishmediya"
2431,Neutral,kia sotiladi endi faqat
2432,Negative,Vashshe tiklanmasin
2433,Negative,Bankrot bulib yopilib ketsa xam roziman.
2434,Neutral,Yoplishuchun oz qoldi deganimi buuuu...
2435,Neutral,Moshina xozir xamma davlatda xam kimmat
2436,Negative,Xoxlagan xunariga oʻynatoradi bu zavod qabul qilmasa vashshe yonib ketsin toʻlov qilmaylar xalq
2437,Negative,Umuman tiklanmasang ham mayli.
2438,Negative,UzAM kutilarini bozordan xam olmaslik kerak!!!
2439,Neutral,Kachon tiklanadi
2440,Neutral,Xolasen ol xolamasenam olasan
2441,Neutral,"Tugrisini aytib Uzavtomotors Asaka zavod buyicha bankrotlik eʼlon kiliib, ishini tugatsa bular edi, raztamojka ochilarmidi"
2442,Neutral,"Norozi búlishseng pullaringni bermimiz
Deyishsa xam, xúp deymiz"
2443,Negative,Yepiladimi ochiladimi menga JM ni umuman kizigi yuk portilab ketsa xursand bulaman
2444,Neutral,Uuuuuuura
2445,Neutral,Kani umuman chikmasa
2446,Neutral,Maksad xalkni rozi kilish....
2447,Neutral,GM ham aytadi ham qaytadi
2448,Neutral,Tiklanadigan dori urivorishsin
2449,Negative,"Davlatingga xam , xalqingga xam deyishibdida"
2450,Neutral,Bozorni narxi kutarilib ketmokda shu uchun.
2451,Negative,nima digani bu tushuntirvorila okam pul tulagan lassetiga fevralda chikishi keregidi
2452,Neutral,Yetib keldik db etish kere
2453,Neutral,"Nega ochilmidi, ochiladimi uzi"
2454,Neutral,A shuni ertaga etardila 
2455,Negative,Keregiyam yoq shi shartnomasi.
2456,Neutral,Faqat labo damas xaydirkanmzde
2457,Neutral,Mashinaga puling bulmasa kizigiyam yuk ekan
2458,Negative,"Yopilib yuk bupketsin shu zavod, xalkka bir tiyin foydasi yuk."
2459,Neutral,Neksiya bilan kobaltni 6 ming dan sotiylar. Yaxshi buladi. Diyarmish
2460,Neutral,Siz qaydan bilas
2461,Neutral,Neqa
2462,Neutral,Shu Koronavirus hammani qiynadida Xitoyda yoqolib ketdi Boshqa davlatlarga hali ham oʻz taʼsirini oʻtkazchpti
2463,Negative,Vopshe tiklanmiy ulib kirilib ketmiydimi. Sanlani konserva bonkalarini olgan odamni UZI axmok.
2464,Negative,Chet elda narx navo oshsa bizga ikki barobar taʼsir qilmoqda xamma narsa yoʻl kiralar qimmat katta zavodga xam seziladida
2465,Negative,"oʻzing osib oʻldir GM. ,bular shunchaki xalkni ustidan kulayapdi .xozirgi davrda butlovchi ыism bщlmasligi axmokni ogʻ
zidagi gap"
2466,Neutral,"Bilmadimu kanakadir yokimli xabar ukishim yakin urtalada birinchi martta...voobщe
yuk bb ketsin bankrot bulib"
2467,Neutral,Boshida kolsin
2468,Neutral,Ilxomboy Sabirov
2469,Neutral,Nazarov Gafurjan
2470,Negative,"Xalkni extiyojini kondirmayapsanmi
och rastamojkani. Ungaxam bungaxam turmaydi GM"
2471,Neutral,Spark sotaman juda kimmat yeki 2 ta malibuga almashaman 
2472,Neutral,Rastamojkani ochish kerey
2473,Negative,"Rastamojka ochilmagan, yangi avtolar ishlab chiqarilmaydi, qarabsizki narx koʻtarilib, jmni mazax qilgan xalq koʻziga surib, yanayam qimmatroqqa sotib oladi. ""Obroʻ"" ham qaysidir maʼnoda tiklanadi. Bu shunchaki faraz."
2474,Neutral,"Rostomojkanitush
iring"
2475,Neutral,"Rostomojkanitush
iring"
2476,Neutral,"Rostomojkanitush
iring"
2477,Neutral,Jentra 20 000$ ga chikarkande 
2478,Negative,"Maqsadi narxni koʻtarishmi? Shundogʻam chirigan 2010 yilgi matizlarni 3000-4000$ deyishyapti, kambagʻallar xam moshina minsin."
2479,Neutral,"Narxni koʻtarib olishmoqchi, xalq shokka tushadi xuddi oxiri zamon kelganday birov uyini birov jigarini birov yana nimalardir qilib moshinaga xalta xalta pul toʻlashadi, ur toʻpolon boʻp ketadi..."
2480,Neutral,Biz yopildik dseyla rosa xursand boʻlardik omo
2481,Negative,Ittan tugʻilganlar
2482,Negative,"Ota - onasiga
Laʼnat olib berdi"
2483,Negative,"Ne nujno zakrыvat im litsa. Pust ix vse uvidyat! I sud doljen bыt po vsey strogosti i pokazatelnыy, chtob drugim urokom bыlo ."
2484,Neutral,Rasmini ochik kuyish kerak! Xamma kursin.
2485,Negative,Kutini ikkiga ayirib tashasin bu tvarni!
2486,Negative,"Sobaki. Mordы sobak nado pokazыvat, a ne za kubikami pryatat."
2487,Negative,Prosta itdan tarqagan
2488,Negative,Bunaqa ifloslarni bir yoqlik qilish kerak. Hammaga ibrat bo‘lsin!
2489,Negative,Iflosni kozikka utirgizib kerak sud kilish kerak
2490,Positive,"Xodimlarga.katt
a.raxmat."
2491,Neutral,Usha tepilgan odamni farzandlarga kuyib berish kk
2492,Negative,"Ota onasi mexr bermagan, sevgidan bumagan farzandlar shunday vaxshiy buladi, talim vazirligini menga berishganda uzim bilardim bunday bolalar bilan ishlashni"
2493,Negative,Uzini otasini shunaka tepsa yekarmikan piiiiiiiiii
2494,Negative,"Ota onasiga ming lanat wunaqa ipirisqi xayvonlani tarbiyalavatgan
iga"
2495,Negative,"Ota onasi bilan birga kushib yuziga tepish kerak.
Axloksiz deb shunaka psixlarni aytadi."
2496,Negative,Allox jazosini bersin
2497,Negative,Ifloslarni oʻziniyam basharasiga tepish kerak
2498,Negative,Tasshog’idan osilmasa hisob emas
2499,Negative,Kotta shtraf tullattirib 15 sutkaga kamela
2500,Neutral,"Oching, bashshsharrasini, xalk tanib olsin!"
2501,Neutral,"Bu bolaga chora kurishdan oldin ota onasiga avval otasiga keyin onasiga chora kurish kerak. Chunki tugib kuyish bilan bola bulmaydi, uni tarbiyasiga masʼulmiz. Kiyemat kuni shu uchun xam suraladi."
2502,Negative,Yuzlarini ochib ko'rsatishsin bu ifloslarni.
2503,Negative,Uzini xam oldin yuziga tepib Sung kamash k k
2504,Negative,"Tarbiyani ota ona beradi,ota onaga lanat olib keldi bolasi, maktab esa talim beradi"
2505,Negative,Pidiri o’zini shunaqa tepkilash kere
2506,Negative,"Buni yahshigina srok berib qamamasa, bundan keyin bu holatlar koʻpayaveradi. Jazoni yengilligidan."
2507,Negative,Savalab tuz sepish kere yarasiga bu be tarbiyalani
2508,Negative,Nega Basharasini bekitasla xamma koʻrsin bunaqa ifloslani padariga laʼnat
2509,Negative,Tik tokni yuk kilish kerak. Bloklab!
2510,Negative,Xayvondan tarkagan
2511,Negative,Men shu tepilgan insonni ugli bulganimda anik uldirardim bu kutvachchani
2512,Negative,"Shu bolani omma oldiga olib chiqish kerak, hamma bitta tepib koʻrsin basharasiga!"
2513,Negative,Padaringga ming lanat xaromilar
2514,Negative,Maksimalno jyostkiy chora kurishsin!!
2515,Negative,"Yuzi berkitilganga qaraganda,bitta
qorinboy ugʻliga uxshaydi."
2516,Neutral,"Agar aybdor jinoyat kilgani anik bulsa , yuzini yashirmaslik xalk bilishi kerak !
Yoki u xam amaldorning bolasimi ?"
2517,Negative,Tik tokka chiqadimi boshqami videoni koʻrgan odam laʼnat aytib boʻldi qargʻish olgani qoldi bir umr vijdon azobida qolmasmikan
2518,Negative,"Kaysi maxalla kaysi maktab yuzini nimaga ochmadizlar.Ochib
video kilinglar. Ota onasini kursatinglar boshkalarga dars bulsin. Ertaga kizlarni xam yuziga urib video olishadimi."
2519,Neutral,Nega yuziga bijir bijir qoʻyasila koʻrsatila halqqa...
2520,Negative,Yuzini kayerda ukishini ota onasi kimligini kursatinglar butun uzbek xalkini sharmanda kilayapdi bunga uxshagan maymunlar.
2521,Negative,Yuzini kursating. Kim ekan zurlar.
2522,Negative,"Bu itdan tarkagan bolaga kattikrok jazo berilsin,bu bolamas bu it"
2523,Negative,Yuzini koʻrsatinglar! Xalq oʻz qaxramonlarini bilsin! Bularni tepgan oyogʻi bilan videoga olgan qoʻllarini sindirib naslini quritish kerakki bunday ifloslar boshqa koʻpaymasin!
2524,Neutral,"Shunchaki shu yerda yozilgan kommentlarni ota-onasiga koʻrsatinglar, bundan ortiq jazo yoʻq ular uchun."
2525,Positive,Zudlik bilan maktablarga diniy ta'lim berishni ham yo'lga qo'yishlari kerak. Eng zo'r yechimi shu!
2526,Neutral,Nega bijir bijir qoʻyishgan soqoli yoʻqku
2527,Negative,Yuzini kúrsatsin xalkka marazni bekitib Nima topadi...
2528,Neutral,Diyniy tarbiya yuqligidan
2529,Neutral,Ibrat uchun tuzuqroq jazo berilishini talab qilaman
2530,Negative,"Bu valadizinolarni
yuzini ochib kursatilar xalk kursin. Ota onasiga Ming lanat bulsin. Kamash kerak bularni"
2531,Negative,"Axlok tuzatish kolonoyasiyaga yuborishsin bu xayvonni,otasi bilan birga kushib albatta!"
2532,Negative,"Nimasi bu?! Boshini silab qoʻyishibdi-ku?! Bu yaramas, tarbiyasizlarni qattiqroq jazolash kerak edi!!!"
2533,Negative,"Yana yuzi xiralawtirilgan
da maqsad nima wu xiralawtiriwdan
? Bilaylik kimligini maxallada ota onasi izza bulsin wunaqa axmoqni tarbiyalagani uchun"
2534,Negative,Oilasi bilan 15 sutkaga tikish kerak.
2535,Negative,"Yangi Úzbekiston, kúprok domlalarnikiga osilib, xakikatlarni yerga uringlar. Keyin shundan battar mevalarni kutaveringlar."
2536,Negative,Lanat ota onasiga tarbiya berganiga.
2537,Neutral,"A zachem zakrыvat litsa, paren xotel slavы, xotel emotsii, vot yemu i slava! A vы litsa skrыvayete, ne dayote rebenku, to chto on tak iskal!"
2538,Negative,E tarbiya bergan Otanga ustozinga ming lanat axmok bolar
2539,Negative,Iloyim keksa boʻganlarinda sanlaniyam doʻposlab ketsin
2540,Negative,Tepgan oyoqlari sinib tushsin. Video ni koʻrib yuraklarim qaltirab ketdi. Insof bersin yoshlarimizga.
2541,Negative,Yashshavor nortoy. Tik tokermush.... Ming lanatlar bulsin Sanga va san kabilarga.....
2542,Neutral,Yaxshirok jazo berish kk boshkalarga urnak bulsin
2543,Neutral,Nimaga yuzi ismi yoshirilgan koʻrsatinglar hamma koʻrsin bilsin kun.uz
2544,Negative,Basharaya binem ki in zur
2545,Negative,Tarbiya yaxshi emasda
2546,Neutral,Qattiq chora koʻrib Televideniya va gazetalarda koʻrsatish kerak…
2547,Neutral,"Ota onasi ulgan yetim bulsa kerak ,afsus!!!"
2548,Negative,"Basharasini koʻrsatilar, sportni amakilarda sineydigonlarni
xalq koʻrsin. 15 sutka kam bularga..."
2549,Negative,"Chuchogini uzib, oyegiga yepishtirib kuyish kerak! Yanagi safar, tepishdan oldin uylab kuradi!"
2550,Negative,Basharasini nimaga yashirasizlar? Xalk kursin sharmanda bulsin uyalsin
2551,Negative,"Jamiyatda tarbiya
Islom dini asosida shakllanmas ekan.
Bunday tik tokerlar xar qadamda paydo boʻladi."
2552,Negative,Buni kuzini oldiga otasini shunday tepish kk .Itdan tarqaganni.
2553,Neutral,"Buldi kilishadimi yukmi? bola Dodasi tengi odami yuziga tepsa, ona uzi tukkan bolani ayika otsa( odam sots. setdan bezillap ketdi…"
2554,Negative,"Nega bu bezori jinoyatchining yuzini yashirib qoʻydinglar, ochinglar xalq koʻrsin uning kimligini."
2555,Neutral,It
2556,Neutral,"OLLOX jazosini beradi, yoshi katta odamni urgani uchun. Farzandlari bordir u kishini xam, bu ikki jupruqlarni tinch qoʻyishmaydi. Insof bersin"
2557,Negative,Uyatsiz beti yuk. Bu kaytar dune. Bekorga bolmagan bu ish. Avvalo insof bersin. Vaktlar kelib uyalib kolsin. Olloxdan kechirim surar kilgan ishi uchun. Manimcha oilada eshitgan kurgan bunaka tarbiyani.
2558,Neutral,"Nima uchun endi yuzini yopib kӯrsatyapti, yuzini xalq kӯrishi kerak edi..."
2559,Neutral,Ota onasiniyam
2560,Neutral,"Internet tarbiyalanuvchila
ri! Ming Afsus! Allox bilguvchidir! Kelajagi porlok bu yulduzlarni...(("
2561,Neutral,"Bu bolajonlar ota-onasiga ""raxmat"" olib berishibdida"
2562,Negative,"Basharasini kursatishsin uzbek shaniga nalat keltirganni,uyat
,axmok kanaka kilib insonman dib yuribdi"
2563,Neutral,"Bular yoshlar, aqli shakllanmagan, ko’pincha boshqalarga taqlid qilib ish qilishadi. Allohim aql ko’zlarini ochsin yoshlarimizni. Yoshlarimiz Islom odob-axloqlarin
i o’rganishga juda muhtoj ekanini ko’rib turibmiz. Lekin bu yoshlarni so’kish, urish, qamash bilan biror yaxshilikka erisha olmaymiz. Biz uchun bu holat bir dars. Bu yoshlar bizning farzandlarimiz,
bunday razillikkagacha
borishlariga nima sabab bo’lganini o’rganib, yomon illatlarni davolashimiz lozim. Sizlardan iltimosim, bu kabi yoshlarimizni so’kish emas, balki haqlariga yaxshilik bilan duo qilaylik, toki bu tepgan oyoqlari bilan Alloh rozi bo’ladigan ishlarni qilishsin, yoshi katta qariya ota-onalarimizn
i ehtirom qilib xizmat qilishsin, qo’llari bilan kamtarlik qanotini yozadigan bollardan bo’lsin. Barcha tavfiq, yodam va kuch-u quvvat Allohdandir."
2564,Neutral,"Nimaga yuzi berkitilgan.kan
aka jazo belgilandi.tepi
shini xamma kurib, yuragi vayron bugandan keyin olgan javosini va basharasiniyam kurilikda."
2565,Negative,"Tovba bu axmokning nega basharasini yepasanlar...bar
cha bilsin.kimligin
i"
2566,Neutral,Oʻzini otasini teptirib koʻringlar.
2567,Neutral,Yuzini ochib koʻrsatsin
2568,Negative,Kamokxonadigi tualetlani tozalatishga yuborish kk zub щetka bn
2569,Negative,Kutiga bo'tlka tiqish kere
2570,Negative,Eshshak. ..
2571,Negative,"Ota onasi bilan birga jazolash kerak, tarbiyasizlarni!
!"
2572,Negative,"Yana 15 sutka berib xurmatilani bulgamanglar, koloniyaga junatila bu marazni, voyaga yetganini kamida 3 yilga kamash kerak."
2573,Negative,Bu ifloslar odam sifatidagi maxluklar
2574,Negative,"Tok yoʻq deyishyaptiku otib tashlayveringlar
churruklani "
2575,Negative,Xoramdan boʻganlar
2576,Negative,Ogir jazodi talab kilabiz samarkanda shunga uxshagan ishlar kup bulyapdi utgan safar bir ayeldi boshiga chelak kiygazib urishgandi samarkantdagi yeshlar bilan ishlaydigon tashkilotlar xam jazolanishi kerak
2577,Neutral,"Rasmda yuzini kursating, shunda jazoni kurasiz"
2578,Negative,Ota-onasiga jazo belgilash kerak.
2579,Negative,Armatura urish kerak usha joyiga...
